Časová značka;Discord name;Link(s) to contribution(s) (discord post, tweet,...);Mainnet (StarkNet) address;How did you contribute?;;;Marek Notes;POINTS;NOTES
3/16/2023 14:21:40;;https://www.youtube.com/watch?v=dQw4w9WgXcQ;0x4200000000000000000000000000000000000042;;;;;0;Rick Astley song
3/16/2023 18:13:03;Oxdimas#0547;https://twitter.com/Skyday110/status/1630543345197146112?t=eQoMf4kDfmGlJCqttvnJLw&s=19;0x271933d1DAFFEC39E1E8c805DbAFf4e10eCd00BB;;;;;2;
3/16/2023 20:54:27;dctech 🌽🌾#1697;https://t.me/dctechblockchain/1143;0x02F73b8f07440059E03314b94ce8bebA34C709A7A4Df7EF3F2a35306526937E8;I wrote a guideline about carmine options on how to test and give quality feedback. ;;;;2;
3/16/2023 20:57:52;bla;bla;bla;I wrote an article;;;;0;Testnet feedback
3/16/2023 21:37:16;alihan#1791;https://discord.com/channels/969228248552706078/1055455042246815774/1078062574375018606;0x01519BfF2E8A17451A9511b79718E93a487DF12E59EF21F7e2e514EBe36e95B4;I wrote an article;;;;0;Testnet feedback
3/16/2023 21:43:38;Mish#2799;https://discord.com/channels/969228248552706078/1055455042246815774/1078433819776000020;0x02582C69A6C34193830085F3684c82Fc6559cb9C6b2b24F858C2eB7b3888c549;;;;;0;Testnet feedback
3/16/2023 21:46:44;Lami#4501;https://discord.com/channels/969228248552706078/1055455042246815774/1078592219742752898; 0x03B3F518959d2485A481C8995c5d4fAf72371958EAE5953AFD72a2E9C3f6520B;Testnet interaction ;;;;0;Testnet feedback
3/16/2023 21:48:59;Oxmish#8949;https://discord.com/channels/969228248552706078/1055455042246815774/1078609954619002890;0x064c05d4A5279966A0795a2Dc1Bd450Aa0e597941b2Be247094409f6fBc62b77;;;;;0;Testnet feedback
3/16/2023 21:51:08;Naomi#7238;https://discord.com/channels/969228248552706078/1055455042246815774/1078813204840460318;0x044665C0124210081b3788A285eE71f3fF916467Dbfcaa6f40cf426E643b411d;;;;;0;Testnet feedback
3/16/2023 22:00:50;Xtech#6007;https://discord.com/channels/969228248552706078/1055455042246815774/1078680244116009000; 0x0158388cfb9aeFb96BFb8D7b5992eBc61B06d7BE2e881A510C0C5aC627319805;Testnet ;;;;0;Testnet feedback
3/16/2023 22:02:42;Sam12#5675;https://discord.com/channels/969228248552706078/1055455042246815774/1078683919202914344; 0x04124172D0A947143eFF383B24c1805685367F8B0a493bDd2eB30Af14430e0b2;;;;;0;Testnet feedback
3/16/2023 22:11:33;Mitch1#2404;https://discord.com/channels/969228248552706078/1055455042246815774/1078754595343437874;0x03e646fa46f84B6580506DD086B2141461f6b8c3564c2798f4872F5ebba35c44;;;;;0;Testnet feedback
3/16/2023 22:12:10;3274.btc#2880;https://mirror.xyz/tatlee.eth/KnSydGY8mMAsxwTdroi3JoalZU74H6vK-TSLMVfiSw0;0x06c5606FF51eA7c1908F8F88056333DFcEdD940c;I wrote an article;;;;3;
3/16/2023 22:12:35;KAIFKHAN07#5141;https://medium.com/@jiamigou/%E5%8A%A0%E5%AF%86%E7%8B%97%E6%95%B4%E7%BC%96%E7%A9%BA%E6%8A%95%E7%AC%AC119%E7%AF%87-carmine-options-%E6%B5%8B%E8%AF%95%E7%BD%91%E7%A9%BA%E6%8A%95%E6%95%99%E7%A8%8B-%E6%98%8E%E7%89%8C%E7%A9%BA%E6%8A%95-845be523ce7e;0x07eeacF1A27517eb3eaD871D0f379716957b70daFFb876dDAb02cB35648dae10;I wrote an article;;;;7;
3/16/2023 22:12:55;Samemu#3867;https://discord.com/channels/969228248552706078/1055455042246815774/1078585455211196456;0x03B3F518959d2485A481C8995c5d4fAf72371958EAE5953AFD72a2E9C3f6520B;Testnet feedback ;;;;0;Testnet feedback
3/16/2023 22:13:15;kimlabu || StarkRocks#9623;Tweet: https://twitter.com/kimlabu11/status/1636474178692890627?s=20 Medium: https://medium.com/@hknhnf/understanding-carmine-options-amm-a-decentralized-platform-for-automated-options-trading-e509d4871513;Starknet Mainnet Address: 0x003b4635841fD07ddC35E79c9844385874d478ACD1127cCD71E975d6EB8304a6;I wrote an article, I created a twitter thread explaining what Carmine Options AMM is;;;;8;
3/16/2023 22:46:57;Marc995#6250;https://twitter.com/Anorak95/status/1627420995026882561?s=20;0x0377c8b0435e16302aa425a2a078ee9019e58e2f55f13f83dda3ddfc086d2462;I created a twitter thread explaining what Carmine Options AMM is;;;;6;
3/16/2023 22:50:22;MrTyler#2667;https://medium.com/@ghostdrop/carmine-finance-testnet-tutorial-654238b451e4;0xc42CA8f6c802b78Dc9Db92c48fA92c78340Ab3D7;I wrote an article, I created image/video with Carmine Options AMM theme;;;;7;
3/16/2023 22:52:14;Grodor#1548;"English: https://medium.com/@thegrodor/carmine-options-amm-revolutionizing-options-trading-on-defi-f902ab23dc72
Turkish: https://medium.com/@thegrodor/defi-opsiyon-ticaretinde-devrim-carmine-options-amm-11441742c3b4

English thread: https://twitter.com/thegrodor/status/1636483275840540673?s=20
Turkish thread: https://twitter.com/thegrodor/status/1636485217455157249?s=20";0x009a152C6FCCCAaa2E0CCdF0ECA5B3fD8d509dd32Be226260959217844Cbc06b;I wrote an article, I created a twitter thread explaining what Carmine Options AMM is;;;;8;
3/16/2023 23:24:55;Yuksek#7739;"https://discord.com/channels/969228248552706078/969591943430549574/1085614096394764338 
https://medium.com/@TommasoMacchi/carmine-finance-airdrop-confermato-e0e70e15f3bc";0x009fe5c33f289774721333ddd3ec6a434afff5891c89e2b90fe64aee3e9c3711;I wrote an article, I created image/video with Carmine Options AMM theme;;;;7;
3/16/2023 23:37:44;Vins_DB#3875;https://twitter.com/Corazon___89/status/1636496768593539074?s=20;0x00341638704e87358C34B2886A5fc2f76EE4f8A3;Post tweet on Twitter and Telegram for my Friends;;;;1;
3/17/2023 1:21:41;u17ga1#3805;https://twitter.com/7ga1u2/status/1636523114619367425?s=20;0xe7b90248b7132B69Ba0525f50063fB9d27Abe17d;I created infographics;;;;0;Wrong link
3/17/2023 2:01:18;JiRaYa_OG#8344;"1) Thread Airdrop Carmine Confirmed:

https://twitter.com/JiRaYa_OG/status/1629096553519452162?t=RUxxdV7Ziqy46CEnchUTdg&s=19

2) Tweet from my Starknet Master Thread:

https://twitter.com/JiRaYa_OG/status/1616786949548969984?s=19";0x0508350Eef9c741692cFb2882B7c0d6E2639C589c667ee0b10E08A2Ab7f256f5;I created a twitter thread explaining what Carmine Options AMM is;;;;6;
3/17/2023 2:11:02;Ars7810#2276;https://discord.com/channels/969228248552706078/1055455042246815774/1081801326603796551;0x0409b564133A48ad88a0A963729a7934Be42E22192a97513E4289414Ec67fEd8;I wrote an article;;;;0;Testnet feedback
3/17/2023 3:40:22;Xiobobei #1707;https://discord.com/channels/969228248552706078/1055455042246815774/1077991872179486912;0x04808da98e018A88D29ded4D32A15B5F5cA7EbfB9b7A5f023d82061AffA04bcE;I give positive feedback ;;;;0;Testnet feedback
3/17/2023 4:21:57;nunes#5154;https://twitter.com/mestretrader10/status/1636567303843135491?s=20        https://discord.com/channels/969228248552706078/1078724414822174792/1084622130991337482;0x02F6CFbE4777a28F90975C2aC232EE1C27d261C0c6Dd11366d131cc7dD3c5112;I created image/video with Carmine Options AMM theme, I created a twitter thread explaining what Carmine Options AMM is;;;;4;
3/17/2023 6:07:17;Mitch Harris#2092;"https://t.me/testnet_guide/5553 https://twitter.com/TestnetGuide/status/1626606647316557827
https://teletype.in/@testnet_guide/Carmine_Options_Testnet_Guide
https://medium.com/@testnetguide/carmine-options-is-an-amm-enabling-anyone-to-buy-and-sell-options-at-a-fair-price-3ea6dfb404c4
https://discord.com/channels/969228248552706078/969591943430549574/1076165693554311288
https://discord.com/channels/969228248552706078/969591943430549574/1076165817047208096
https://discord.com/channels/969228248552706078/969591943430549574/1076168503591182426";0x0558808A3C00c778C93E3d4348687b048613993E6b03836726B5d581f9960515;I wrote an article, Telegram post;;;;8;
3/17/2023 6:07:33;Sheely#8042;https://mirror.xyz/0xaCB8AfbC0c429c0A79568c2f51f08750655ce507/NRztDBxvPtuaaAJdN6zGJ83iNMbk5oW3xkLNfzEj1dU;0xaCB8AfbC0c429c0A79568c2f51f08750655ce507;I wrote an article;;;;4;
3/17/2023 6:24:20;ashell890401#6986;https://twitter.com/shella890401/status/1636598842841006081;0x44A9935Ca995BE8ee65a6F6EB6C984227232fabb;I created a twitter thread explaining what Carmine Options AMM is;;;;3;
3/17/2023 6:27:36;xiaoB660#0267;https://twitter.com/shellb660/status/1636599983200956416;0xaee597aBd13d351E1ee62F560dd3b65BC2494d5c;I created a twitter thread explaining what Carmine Options AMM is;;;;2;
3/17/2023 6:49:37;Arutyunov.eth#5902;https://teletype.in/@arutyunov_eth/tm9AzAv_mV4;0x1A8f294AdaB4c0D69DA7a635237C25D6848D6C1a;I wrote an article;;;;6;
3/17/2023 7:18:51;MikoTurk#8193;https://twitter.com/InspectionCap/status/1636612932363591681?s=20;0x02bA4d7cF831553a28B0713Bbd8503203E373255a63558f14C2405299CAa8Aed;I created a twitter thread explaining what Carmine Options AMM is;;;;7;
3/17/2023 7:57:32;LilCrazy#9169;"https://medium.com/@sashacrypt1991/testnet-carmine-finance-ab2365669652 (https://discord.com/channels/969228248552706078/969591943430549574/1079389271422681109)


https://twitter.com/bod_dilan/status/1630659646439432213?s=20 (https://discord.com/channels/969228248552706078/969591943430549574/1080218449277632582)";0x018e76E3039f24B9EE955c666e0E61B5CC690703BB869355c35f06f4369deE96;I wrote an article, I created a twitter thread explaining what Carmine Options AMM is;;;;7;
3/17/2023 11:42:00;burak33b#5755;"https://twitter.com/_burak89/status/1636674855138410499
https://twitter.com/_burak89/status/1636676514266619904
https://twitter.com/_burak89/status/1636678823205822464";0x2162FEB49E9Efe2506DE3273f4edabe09d36cbAf;I created image/video with Carmine Options AMM theme, I created a twitter thread explaining what Carmine Options AMM is;;;;8;
3/17/2023 12:55:49;Виталий N1 | Bay Swap#8094;https://twitter.com/slam_ik/status/1636697784408498176?s=20;0x026eeDDAd2347a4e468Cc0c7d3941a8DE7b59d2d17D9dE8de0A5347a0fE6c620;I wrote an article;;;;3;
3/17/2023 13:18:22;d.e.m.i.u.r.g.乇 🐍#0376;https://twitter.com/coinverici/status/1636702953368088578;0x03a10EAE53e16505828384514325CA55841A75d822B22B5985895029631a7B87;I created a twitter thread explaining what Carmine Options AMM is;;;;6;
3/17/2023 15:32:24;Alê#4088;https://medium.com/@kelvinferreira_14800/carmine-options-amm-options-for-community-93a572805608;0x00cada632b4798225159957b0a5f216b075eedde77915ca100dc7139651e2436;I wrote an article;;;;3;
3/17/2023 19:12:31;Santoryu#7281;https://twitter.com/RA3MJ/status/1636792259382214675?t=LeP4fcin-ROgrNHc9uBQUA&s=19;0x5025917a621e5CD46824350ba98F9766160d84BC;I created a twitter thread explaining what Carmine Options AMM is;;;;3;
3/17/2023 21:38:07;ricksanchez#4782;https://twitter.com/algorickm/status/1636828971768877056?t=_nx-sY3NotsROMzyykjxyQ&s=19;0x045d3604a2D71F506c907c3b7BE2c5Ab99E2Fe99eEA71a7D8aaA630CE4014CC7;I created a twitter thread explaining what Carmine Options AMM is;;;;3;
3/18/2023 1:22:08;Cryptoloss#1951;"I made a twitter thread (Turkish)
https://twitter.com/Cryptoloss1/status/1628437579757387776?s=20
https://t.me/LossNodeDuyuru/743

I made English twitter thread too
https://twitter.com/cryptoloss_en/status/1628366836524847106?s=20
https://t.me/LossNodeNews/46

I made a video about testnets and airdrop
https://youtu.be/pkc_PvvswGA
";0x01Ba0972858F4068Bd14C951C853a204F78D672f28f4d2ABe757674DdB7ebc9C;I created image/video with Carmine Options AMM theme, I created a twitter thread explaining what Carmine Options AMM is;;;;10;
3/18/2023 4:58:16;Lyskey#2396;"I am a content creator specialized on Starknet. I frequently include Carmine in my infographics, newsletters, threads, and tweets. Here are some examples:
- Infographics including Carmine:
https://twitter.com/Starknet_OG/status/1628252375432704001
https://twitter.com/Starknet_OG/status/1612320747787276288
https://twitter.com/Starknet_OG/status/1607260009544683523
https://twitter.com/Starknet_OG/status/1604733508424937472

- Newsletters including Carmine:
https://starknetroundup.substack.com/p/starknet-roundup-53
https://starknetroundup.substack.com/p/starknet-roundup-56

- Mentions:
https://twitter.com/Starknet_OG/status/1605611618267717634
https://twitter.com/Starknet_OG/status/1589134263584456704

Thanks to my content featuring Carmine, I have brought over 170 people to your Discord. You can verify my invitation link at https://discord.gg/kQN5FmNCN5";0x0718505b87b5a448205ae22ac84a21b9e568b532ed95285c4c03973f8b1a73e8;Infographics, mentions, tweets, newsletter;;;;10;
3/18/2023 6:02:54;Santoryu#7281;https://twitter.com/RA3MJ/status/1636792259382214675?t=U4OQyWJ6P55f6-Rwnb0Pog&s=19;0x027495304ed75F5257EC68e053e13B4B842Ec9AE65b4720e2EE88b31ecC37A71;I created a twitter thread explaining what Carmine Options AMM is;;;;same as number 39;
3/18/2023 10:02:44;ozgun72#0425;https://twitter.com/JamesonOzgun/status/1637007991428743168;0x3Bf5BCEB1a247B21FdCd63F59b5581c2bab0849b;I created a twitter thread explaining what Carmine Options AMM is;;;;0;Not related
3/18/2023 11:51:25;redeucalyptus#1137;https://twitter.com/slowcoin35/status/1628457838904496128?s=20;0x00a8978743b5c973136Fe7c08d0f27e746A8CdbE8F9824287FBB25a94217082B;I created a twitter thread explaining what Carmine Options AMM is;;;;6;
3/18/2023 14:22:17;Wrapped Jerem #7936;"https://discord.com/channels/969228248552706078/1078026165958234294/1079082908939206737
https://twitter.com/CarmineOptions/status/1630559033928056832?t=g3P07z3_cpztJ0RBkHRcTQ&s=19";0x03e23597f10adf17f769777ba0d5682ec6e2cd09a5da30f72ab1839d02abe04e;I wrote an article, I created infographics;;;;5;"Not related; Marek: It is related"
3/18/2023 15:12:36;bojan111#1688;https://twitter.com/blueswinggg/status/1637094391700414465?t=VQDx02bkBxhBo9OPskjxHQ&s=19;0x05a7bCE396743a3eF540eE7b7e9c1F47FCd9587A1E03DE25aAb965cb3373Db2d;I created a twitter thread explaining what Carmine Options AMM is;;;;3;
3/18/2023 16:53:25;🏇Sumit1210#1030;https://twitter.com/CarmineOptions/status/1605908767891152897?s=20;0x03bA605683b4818e8c3cBeDf3D27BcBe58e2915c438C4348b2BC9CCda9799593;TWITTER;;;;2;"Not related; Marek: It is related"
3/18/2023 17:06:30;Pearlvn#0699;https://twitter.com/storknorth00/status/1637122905812373508?s=20;0x03C6B8c5B9B6fF18013529995AF01f9B70B014e4C0AfC589e11aae8848559333;I wrote an article;;;;5;
